1	1	5
2	2	8
3	9	7
4	11	6
5	13	5
6	14	6
7	15	7
8	17	7
9	17	6
10	17	4
11	19	8
12	22	3
13	23	3
14	28	5
15	29	8
16	31	3
17	33	8
18	37	4
19	37	5
20	37	8
21	39	6
22	40	5
23	41	5
24	41	4
25	42	4
26	43	3
27	45	3
28	45	6
29	46	5
30	46	8
31	47	5
32	47	5
33	48	4
34	53	4
35	54	8
36	56	5
37	56	3
38	59	4
39	59	7
40	59	4
41	0	4
42	0	3
43	1	6
44	2	3
45	5	5
46	7	5
47	7	8
48	8	4
49	10	7
50	10	5
51	11	7
52	14	5
53	16	7
54	17	3
55	18	6
56	19	8
57	20	3
58	21	5
59	24	3
60	25	5
61	25	5
62	27	4
63	28	3
64	35	6
65	35	5
66	39	6
67	40	6
68	41	4
69	42	8
70	44	4
71	46	7
72	51	8
73	54	8
74	54	8
75	55	3
76	57	4
77	59	4
78	2	4
79	2	7
80	2	4
81	3	7
82	3	6
83	5	3
84	5	6
85	6	8
86	8	7
87	10	8
88	10	3
89	11	3
90	13	7
91	15	3
92	16	3
93	19	6
94	19	8
95	20	5
96	21	6
97	22	5
98	25	8
99	27	6
100	28	7
101	28	8
102	34	3
103	38	5
104	39	7
105	40	5
106	41	7
107	42	8
108	42	7
109	43	6
110	44	7
111	45	4
112	46	3
113	49	7
114	50	7
115	52	8
116	52	6
117	52	5
118	53	3
119	55	4
120	57	5
121	0	6
122	3	4
123	5	4
124	6	8
125	7	5
126	7	6
127	8	6
128	9	8
129	2	5
130	4	7
131	4	6
132	5	8
133	6	3
134	6	8
135	8	5
136	10	7
137	10	7
138	12	7
139	12	3
140	13	5
141	14	7
142	17	6
143	17	4
144	19	5
145	19	7
146	20	3
147	20	7
148	20	6
149	20	6
150	21	3
151	21	7
152	23	4
153	23	6
154	25	8
155	27	5
156	28	4
157	29	4
158	30	3
159	31	7
160	33	8
161	35	3
162	38	3
163	30	4
164	32	6
165	33	5
166	39	7
167	41	6
168	42	7
169	44	5
170	44	8
171	44	4
172	47	7
173	49	7
174	49	6
175	53	7
176	53	4
177	55	6
178	57	4
179	57	3
180	57	8
181	58	5
182	0	7
183	2	8
184	5	7
185	9	3
186	10	8
187	20	6
188	20	3
189	21	5
190	22	3
191	24	7
192	26	7
193	21	5
194	22	5
195	22	6
196	25	4
197	26	6
198	26	3
199	20	4
200	35	6
